incoming,your_reply
We can add as many features. But we should consider the future problems arising with it. It's saying the same thing. It has issues with privacy.,Yes
Read out loud is good but not the sentiment one.,"Yeah at the end I said about this without sentiments,  just read and write"
Anything important in classes.,.
Good.,SE going like 🚀
What have she done till now?,And yesterday I haven't went to college
"Oh, okay.","Completed all the 3 models like agile,  incremental and re use"
Da fuck? All done so early?,And she is explaining the steps one by one with separate diagrams
Okay,Yeah
I'm watching a react tutorial but I'm not able to understand most of it. Are there any requirements for it?,"Javascript will be the foundation,  if you are good at it,  then I think you can understand bro."
They were talking about some classes or objects I think.,"Oh this is the base to learn react bro,  most of the people use to say like this."
Okay I will learn in class only. I thought about finishing early.,OK bro
Yes,Okay
Has ma'am done enough in DBMS classes to do it in the lab?,No
Got fever?,Yes bro from yesterday night
Good then,Yeah
Did type casting and arrays in Java.,Haha yes right.
Which one?,<Media omitted>
Have they sent any messages like that?,Have you filled the form
"Srinivas was telling, all need to select DBMS. I'm not sure about it.",OK
But I don't see any messages like that.,Really OK
"That's why I'm asking you, i might have missed the message. I'm too confused","OK Varun just messaged me to select DBMS course,  to skip assignments like that"
"Oh, okay",Compulsory itseems <This message was edited>
Who told him.,Don't know I didn't ask
Okay,Yeah
Oh really,Yes
It has two jobs. Right?,"Yeah,  I have to use NLP for thiw now"
Oh fuck 🤦🏻,Yeah summarization and recommendations based on the summary
Is it easy? How do you rate it on difficulty?,"I don't have any idea about this,  I will have to learn"
Problems always come when doing any projects but never expected it will affect the core feature of the project.,But I am getting a suggestion that I can use other Model like API to to do the recommendations job
"Oh, it sounds difficult to me.",Yeah
"Oh great, which ones?",But those are paid ones
I never researched about these. So I don't have any idea. What about openai? Is that also paid?,Yeah
Yes it's paid i checked now.,Yes <This message was edited>
Any solution for this problem?,NLP is the only way. But learning and implementing it takes time. It will extend the project completion time
How about forming team members and all working on it? You can finish it early by that way.,Sounds good. Who knows NLP?
Me? I don't know anyone.,Nobody knows NLP as of my observation <This message was edited>
It will be a win-win situation for you as well as them.,"Yes, my job will be finished if I Implement this in the project"
Definitely.,"Yeah, but they may take more time because the project is not their own. Because they maybe busy with their things <This message was edited>"
Yes it's true but You can't do anything in it. Try talking about this project with your mentor or your lecture for help. They might help you recruiting members.,"Oh really,  let me try with my mentor."
It's a highly impossible and risky thing. Because you don't have much time if you target placements. But if you are confident enough that you will build your project into a real project then you can do that. Building a complete software by a single person is highly difficult. Think about it.,"Yes,  I will try via my mentor or I will reach out people"
Kaggle - this one i think.,"Nope, that is hugging face"
What about it?,Let me try it
Okay and let me know.,OK bro
"And before adding members for NLP, prepare yourself with it. So that others don't overtake you and start leading it. You are leading and it should be like that.",Yeah right
This things happens.,Yeah I agree with this
Coming tomorrow?,Yes bro I will try to
Okay if you come let's try to pitch your idea if you are ready. Or you want time?,To whom?
If you want.,She may not help bro. I will reach out other guys. Let me see
Okay then,She may ask only students from our mentee group to incorporate
Can he help?,So. I will find some guys who are really useful
Okay.,"He said he is learning and teaching us, how can he help"
As a matter of fact none of the lectures can help in our projects 😅 I have experienced this in degree too 😄,Yeah I will find people with similar interests and I will pitch my idea to them if they are really interested
Okay then,OK bro
Who?,Vikram
He was working on it??? I didn't know about it. By work means generating from ai or he was coding?,Generating using AI. Then also he is not giving any outputs or updates on it.
🤦🏻,"OK, Yes right."
I was able to catch most of the things today in class. So I will pick it up but slowly.,Nice
Varun didn't understand so I explained to him a little bit what react is and what it does.,Okay
Okay then it's getting late.,Ok
Bye,Hi bro
You can gamble by only learning Java. You need to try other techs too especially if it's needed in your project.,They may not teach this importing modules and writing code for that to use and all
Companies expect that. That's why I decided to learn full stack correctly along with networks. You can try too. It's a need of the moment.,Yes
They may not teach anything useful for our work. That's where self learning comes in.,Yeah.
You can learn python from class what I meant. But for the project you have to do self learning.,I can copy the code in chatgpt. But it makes no sense
I won't recommend it.,Yes
Good.,Knew it
Learn as much as possible especially if the project demands it. More techs = more package,Yeah I need to
"When I was in degree, there were roles like testing, frontend and backend. They were all separate and we were supposed to prepare for it. Now look what has happened, full stack came. And now everything must or can be handled by a single person.",Yeah right
"For now, suppose for a resume. What techs will you put? Just asking to know how much you know.",Java with spring framework is mandatory one for me.
Just list out the techs. It's fine,"JAVA, CSS, JS,  C,  Python (if I complete learning). React (within July I will try to learn again)"
*projects,"Yeah I will mention a facial recognition app,  which I did in my degree by identifying people's hair,  color and more.  And Chat application using C"
Any other projects?,I have explained this to you before some time
Then you know c#?,Tourism management system.
It helps to plan and work towards it.,"Then, my resume will not look good"
AI is meant to be useful to us. So we should use it likely.,Yeah I want to
Then specify your desired role in a company.,"After 4-5 months I will apply for AI-ML role. But now I will go with Development role,  because still I have not explored any"
Right. Okay got it. I will check with both.,Ok
"I got the results. Assuming you do very well in an interview.  If you go for a development role, especially in a service company you can expect - 3.5-5 lpa.  For startups - 6-9 lpa.",OK
Note that it's based on your current skills not the end of your time period. So you can probably increase it.,Yeah got it.
3.5-5 is too less. But getting a good start up is also hard.,Yeah
"I got this for AI but I can't understand fully but you may get it. It recommend this project -  Projects:  Real-world datasets from Kaggle  Build at least 2 solid ML projects (image recognition, NLP app, or a recommender system)",I will be implementing the last one in the current project
For AI/ML  Services - 5-7 lpa Start ups - 7-10 lpa,I will explore more NLP based
Okay. Let me check for the projects too then. About the expectations.,Yeah I am parallely practicing DSA too
You got what I'm asking right?,"Nope,  I was in back-end"
Alright.,Yeah training the models. Got it.
So with 4-5 months as you said you need to learn code. You should probably go to the AI side in the 3rd sem too.,Yeah yeah
Take your time cause it needs time. It's obviously harder than traditional development roles.,Yeah
Don't rush your current ai project. Train the models as you said instead of using API's.,"OK,  that's a interesting part,  like making words shorter and encoding or pushing to the machine to understand quickly. And this is a important process in preprocessing"
Sounds great to me.,Ok
And?,"There are many processes too like tokenization,  indexing, classification"
Okay you learning those?,Lemmetization is similar to stemming
From YouTube?,"Yes  , got a link from github repo and it is well organized"
"Okay, cool",Yeah
Checking with chatgpt? Are you asking that?,I am asking you.
Devops is less learning more doing. I can learn all the techs in a month. But i need first hand experience from it. So i need to work on a lot of projects. Based on devops techs.,Okayy
It's a demanding role. Well paid.,Nice
That's why I chose it 😶,Knew it..
If i improve my coding skills then I can move to SRE - it's a high paying job more than devops.,Oh nice. SRE?
The abbreviation - Site Reliability Engineering,OK
Jack of all trades - my personality and devops suits it very well. That's what I love about it.,Nice
https://youtube.com/shorts/0wpt2f2aprQ?si=V-K7W1MQwLPb4ZNt  Check the 3rd,Bro anything important in today's class
I didn't go,OK bro
Ignore the sound.,What happened ?
"Planning to watch RCB matches from now on, on this.",Oh nice
Blue painted wall 😢 But imagine playing on white screen.,Okay
I watched the world cup on this. And we won. Maybe it's time for RCB.,"Oh come on bro,  please watch all RCB matches in this one only"
😂 That's what I'm planning.,Oh OK
Going to placements?,"Probably yes,  because I have missed last two sessions"
Nope.,Ok
Everyone is. No one's interested.,OK Nice bro
Read?,Reading now
Summarise using AI. It has a lot of things so.,Sad to see this. Less than 200 downloads
With good prototypes you can get funding.,But most of them don't know how to use hugging face to access this model  . So that would be the reason
"They are failing because they are not providing anything else what other major AI is providing. Every set of people based on regions have different requirements. If one cracks it, the business will boom. <This message was edited>",Yes
Might be. So it's your chance.,Yeah I thought the same
Need to brainstorm.,Even I thought so like sentimental analysis with different personas
There is a language issue. Many don't know english. With voice provided it would be a plus.,Yeah right
These are basic requirements or problems that need to be solved.,Yes yes
What about language? Will it use english?,We can tune it to understand different languages
Oh okay,Yeah sounds good
"Not just websites, even redirect to YouTube with best or suitable video.",Yeah got it.
"Anyway you need to learn about these and implement, which every feature they are.","Yeah, I have to speed up my learning thing"
Yes. There is a market waiting. So getting it depends on you.,Yeah.
No i didn't,OK bro
Anything important?,Nope
It's really working.,Man!!!  I didn't expect this fiery from jitesh
No,Yes
My projector 📽️ 🤣,Oh right right 😂😀
I watched it on mobile till the 13th over of LSG batting. And remembered I turned on the projector.,"Look at virat bro,  he is celebrating like craxy"
Yeah,Oh really OK
After 9 years RCB into the top 2. That's why.,Haha yes that's true
"The highest was 210 I think. From last year, Will Jacks played a blinder against GT.","Haha yes yes,  afternoon match I remember"
Jitesh fucked up captaincy in bowling in both matches so it was time for him to stepup.,Fuck Digvesh bro
Yes. Virat was very impressed.,Yeah right right
Also RCB is the only team in the history of IPL to win all away matches.,Yes right.
Haha he was in the rule book. But it was childish of him. When he couldn't take his wicket. He tried it. But good Pant reversed it.,Yeah yeah
I expected more from Salt. He has been disappointing. Hope he is saving from the playoffs. <This message was edited>,Virat gave flying kiss after a long time from the middle of the ground to Anushka
Haha saw,Yeah maybe
He wants to win. For the fans before he goes away.,Even patidar couldn't contribute. But acceptable because of his injury
"I still wonder why he tries more against pace and does not save himself for spin. But anyway Mayank is there, he plays well against spin. Livingstone too plays against but he has been nothing but a disappointment.",Yes true.
"Virat didn't go for a single six. Maintained well with fours. Which he is known for. But tried to open it but got out. He should stay, he is very important. Anyway the record stays on - every time Virat scores a fifty, RCB has won.",Yeah. The man.
Do you have shortage of attendance?,Yes bro
Met your mentor?,Nope. I didn't go
Will you? <This message was edited>,"They have just put the message,  but they didn't ask us to meet right then"
Okay,Take the record books tomorrow
You got it?,Yeah
Okay,Ok
This one for?,This is for record books
Alright got it.,Yeah OK
Any update?,On project
Yes,I have started working on the data pre-processing part for keyword extraction and recommendation using NLP <This message was edited>
English please 🥺,What?
What does it do,"Like I have collected data sets from kaggle and mine too. And now I'm indexing it,  stemming will be done and I have to classify words based on precedence."
"If you do this, will usage of API reduce?",The data I was using for testing purpose and some raw data from kaggle also
Oh then it's good.,But we can't replace Gemini API easily in the project.
Even if we reduce it. It will be good.,Because we can't get that much huge amounts  of data and cannot process it and all. It's a huge one
Hmm,Yeah let's try reducing it's usage
Alright,OK bro
<Media omitted>,🔥🔥
<Media omitted>,😂😂
Oh. Even for counting numbers in a loop it takes forever. That's why python didn't replace java or c despite it's huge library.,Oh OK
What was it about?,Fuck them.
What do you mean? <This message was edited>,"That Jagriti yatra program  , they have posted in group"
Woke up now?,It is an entrepreneurship program like travelling in a train for eight days and visiting fifteen states tier 2 companies and start-ups.
Oh 😳,Useless it is for us
Who will even go?,Nobody except the entrepreneurship cell guys <This message was edited>
I thought it would be another useless event. So I came from the right side. Varun too came but he said he will go. So I went without looking back and it seems Ranganath sir caught me leaving so he has asked Varun to call me 😆,Yearly 80000 people register by paying 100 rs and only 500 will get selected from that and they have to pay one lack rs for the travel
"He called that sir is calling for me, I was already on the 5th floor. I didn't want to go and then he said it's okay sir left. So I came home.",OK OK
What's the point lmao. It's utter nonsense.,Yeah
But what did they do in 1 hour?,"The guy who came for promoting this,  is like making us get scared of the technological advancements happening"
Ok,"And he is making Shitty fun of us,  about the tech we were learning and so on. It was absolute Shit"
Fuck him. Didn't anyone from college staff oppose this?,"Nope,  these shitty MF professors were laughing at it."
Spineless,Yes
Okay then sleep now match gonna start later 😆,Yeah I should now.
Haha yes,Nice
I just hope RCB doesn't collapse.,Yeah me too
Let's see,Suyash was 🔥
Yeah. Performing when it matters.,Yes
And also Rajat is back so.....,Yeah
Haha yes,Osm he is
It was always 2 or 3.,Yeah yes
This season has been great 😃,Yeah
For Java observation you said we need to write the programs given in class right? Can I write random sample ones or the same one given in class?,In class programs
Okay,You can add some sample ones too
Alright,OK bro
https://youtube.com/shorts/ufZ_u188GAM?si=MklKimy5M_dJ12lt  It's getting crazy out there.....,"Now we can generate in simple prompts,  it is very much real and accurate now."
Oh. Okay.,Yes
I was learning java and found this. Check the code -   public class Main{ public static void main(String[] args){ double pi = 22 / 7; System.out.println(pi); } }  What will be the output?,3
Only in dynamically typed languages don't have this issue.,Ok'
it actually divides in int and then converts to double. So output will be 3.0. I never knew this.,Yeah right
So even c has the issue.,Oh I haven't knew this
all static typed languages has this issue.,Oh okayy
"No, I'm well behind on Java so learning it.",Ok
Need to work on react too. So probably no project this weekend.,Oh Ok
for movies?,That day it was 20% acurate
Help me remember it. Again.,"Actually after the summary generation,  we are trying to generate questions on the next concept related to the summary to the user."
and it was giving true and false?,"So,  user can know more about the topic"
That one?,Yeah
any examples?,"It is generating questions on the present summary itself that too really basic,  now I have to find out the related concepts  that are ahead of the summary and generate questions, if the user wants to know about the next part like that"
How did you do that?,"It is a long process,  I will  explain you in the class."
"oh, okay.",We need to install sentence transformers library and with the user of keyword we have to embed it into a question
Must be frustrating.,Yep
Vikram showed me his project. I suggested him to add some features.,Nope
Yes.,"No, not solo, let me reach out people."
The scaring part? 🥲,Haha
"You have already learnt some stuff and ahead of them, right?","I have learnt in the range of 30-40%, still need to learn more"
Maybe you are expecting too much from them. Others will never learn even half of what you will learn.,Maybe yes
I'm 100% sure.,"I am planning to ask Vivek, he is ahead of me in ML so"
Hmm. Just hope they don't rely entirely on chatgpt or ai tools to code.,yes right
Let's see how much we we would have achieved by the end of the semester.,Yeah We should do bro
Very less - 15 mins by walk.,OK bro
Why so suddenly? Or it was planned before?,Planned before
"From Dattatreya temple, you need to go through the link road and to mantri Mall.",OK
I need to go through the link road. Cause my home is nearer than Dattatreya.,Oh OK
https://youtube.com/shorts/xEYTdQrrI1w?si=MqdX9psHGzbyI0os,😂😂
hi anything important today?,No bro
Yes,Ok
"I worked on the backend for the AI project. But I have some doubts, i will clear it with you tomorrow.",Ok
For now there are 4 tables/collections,oh ok
Any updates on the project?,<Media omitted>
What about the frontend?,He won't do I think
I'm leaning the react and designed the login and logout page for practice.,"I have messaged d him on Saturday, he said he is busy on some other things right now. So,  we need a guy from your FSD class"
"I will follow the 2nd sem, and learn react, express and mongo.",OK bro nice
I don't know anyone who is ahead in doing those. Lecturer is still doing the basics of react.,OK
What are your requirements? You need express and mongo also to store data? Python also needed to connect and store. I want to know the requirements.,"Will you get time, bcoz u are working on your network project"
"I'm going to learn all these for my project also, that's why.",Mongo needed as we know and python is almost done.
"We need python code to connect to db for all tables. And also to store data from app to db, how do you want it? Will you use java or python is needed. Storing files also need python code.",OK bro
"If I have questions later, i will ask.","Jdbc connects to the database,  which in turn connects to its tables"
So no need of python right?,No I think
Okay got it,"I was good at react,  but I forgot everything,  and now I am seeing my react project."
True,"Yeah, I haven't asked him."
Okay plan however you want. And share it with me.,OK about?
Learning full stack.,OK.
Like how?,To take up a project from YouTube or any platform like learn on the spot and implement. Only small front-end projects
It's actually the right way to learn things. That's why I jumped to design login and sign up pages. Even sir said to work on small projects.,Yes
"React was hard to understand by theory. But i got some of the basic things. Like importing, exporting, including and toggling between pages, variables like that.",Nice bro great start
Yeah,Ok
Oh,Because I can't leave my comfort here <This message was edited>
I can do neither.,Haha
"I know my limit that's why. I don't want to take over work. If I get the job I want, I would easily leave the college halfway.",Hmm makes sense
Job?,Nope 😂
Great,"Yeah I have to make it shorter,  I will do it  ."
"If you bring your laptop someday, show me these things.","Yeah yeah sure,  my brother uses it in the day times,  but I will try to bring this week definitely"
"Take your time. Whenever you can, show me that time.",Yeah it's just like adding a simple endpoint to the ML model <This message was edited>
Okay got it,Yeah.
Okay,"PDF,  audio,  image,  text ,  YouTube summariztion all done"
Is node js have a role in your project?,Now comes the main part contextual summarization
Alright,OK
That's the main thing,Yeah
For the python lab? What do I need to do? Sample programs again?,"Nope,  lab programs"
But I'm still a beginner.,It's there in the record
We can use chatgpt?,Yeah everybody are doing that.
Okay,"I will Side by learn react to help you because there are many features,"
Alright,It's OK I will join hands with you
Let's talk about it tomorrow,Yeah OK bro
Hi the setup is on.,I have to find its usecase
Bots are those things which do specific tasks like an assistant as you mentioned.,OK I am confused right now.
Do research on it.,Yeah I will get to know more about it and will get back to you
"It's simple - bots do certain tasks, like navigating, helping users regarding the application, like that.",Yeah yeah
Okay,"I want to design a persona kinda thing. Like  a GF, doctor etc."
Then we need the thing which you are using for text summarization. And Train them.,"Yeah,  let's see"
"I will build the logic part, you do the request and response thing.",Yeah OK bro
But wouldn't it be better if the frontend is done first?,Yeah right it will be good
Because it's not the core feature in your project. So if the frontend is done first then we can add this as an extra feature.,WTF is happening in the match bro
Livingstone our hope 🙏🏻,Yeah he need to hit.
He will 😅. I think,Yeah
Projector,Ok
"""desperate situations need desperate measures""",Yes
That's why we need something special from bowlers.,Yeah
Any average bowlers can defend that. Good bowlers should defend tonight's target.,Yes
It's after all a final. Early wickets will put them under pressure. So Bhuvi should step up today. <This message was edited>,Yes. But everyone in reading bhuvi easily. Let's see
Sadly yes. But it's desperate times so he should find desperate solutions. Hazel can't do it alone.,Yeah. Our boys will do well  . LFG
Punjab are inexperienced and they are chasing in the finals so our bowlers should use it.,Yes
My projector is not the best. So it's late couple of seconds than TV. At every wicket they are bursting crackers. And after it bursts I'm seeing the wicket 😭 <This message was edited>,Haha 😀
You watching on TV?,Yes bro
Crazy things happening in Bengaluru. Public screenings and free food are being provided.,Yeah here too.
There is one near my home too.,OK
It now depends on our pacers.,"In our stadium,  a theatre like screen was arranged and I was there until 10"
Oh 😍,KP gave everything
It has become a festival. They just need to live up to our expectations.,Yeah yeah right
He did in 2017 final also for MI,Yeah
"Hazel, Bhuvi and dayal had 2 each.",He was great
Still experience matters.,Yea
Fuck they are bringing punjab back in the game.,Yep
None of them had a bad day today.,Yeah maybe bhuvi was Lil bit expensive
No way. That's not expensive at all. Given the context of the game.,Yeah I remember
Okk.,Yes
Oh yeah.,Yeah
Fuck they are in the game 😢,This Shashank wasn't in form the entire season
One of the RCB curses,😔
Stoinis coming ☠️,Yeah this guy hits
Bhuvi should save us from him,1st ball six
It's Bhuvi time for m.o.m,"If Shashank gets out,  then we are winning the cup"
Yeah.,Devilliers and Gayle in the stadium
<Media omitted>,Yeah yeah
AB is looking to invade the ground if we win.,Yeah he is
Views,Oh oh 🔥
❤️,Bro kohli
He is humbled.,Saw his happy tears after a long time
Yeah 🥹,Send the pic you have put in you status <This message was edited>
Virat one right?,Yee
<Media omitted>,😂
More will come 🔥,Yes
And also posted Ee sala cup namde.,Yeah I saw his post
UK ex-pm was in the ground to support RCB.,Yea
More and more and more will come.,Yessssd
Our boys have done something here. The police siren is loud. Probably beating some haters 😭,Oh Shit
It's loud here. They are having rallies 😅,"Woah,  you can't sleep today"
For real. The sirens are still going on.,Oh bengaluru won't be silent tonight
I can't stop using Twitter and liking their posts. Brain rot happening here,Yeah I am scrolling
Mallya too congratulated 😝,Oh nice
<Media omitted>,Haha nice nice
Didn't come?,No bro Woke up now
Slept at?,3:30
I slept at 3,U?
But came,Yeah
"Our college is close to it, even I could have gone to it. But nothing more important than one's own life.",Yeh
Is it working?,I am still figuring out how to implement it.
"Okay, let me know if you find any.",OK
So it's better to find alternatives. Unless you get funding you cannot buy those kinds of servers. <This message was edited>,Vikram haven't used any ML model
"That's my point, he doesn't, that's why he has hosted easily on that server but you can't host on that normal server.",Hmm
If your project needs good specs  I meant.,Got it
But it has its own issues. Until you get funding you need to use that way only.,Hmm yeah! My back-end work will complete within next week I hope so
Okay.,I lost my touch in react
"But still if you start now, you can pick it up faster than us.",I will brush up the basics and will help soon
Okay.,Ok
So tell us about it. What we are doing to do. We are 3 in members.,Ok
Okay.,so need to start frontend soon
"Oh, when?",SE ma'am . I think you are absent on monday
For you specifically? Or in general?,I have informed you about the interface thing
Cause I'm not done with the frontend so early.,Every group needs to have documentation and frontend of their projects like one in a group <This message was edited>
Your AI project,"If we have gave name means,  we have to do documentation on that only."
How much time we got?,OK
Ok,Gave 80% of today to Leetcode.
"It's already June, no signs of companies. Are they lying?",LinkedList and Recursion
Oh,No idea.
"I couldn't learn this for my sudo solver. I didn't know how the recursion worked, so I didn't work on it 😞 It's a great concept <This message was edited>",Very tough to understand
Oh,Yeah
It keeps on backtracking until the right output. Will use huge memory too.,Yes
let me read for a min,Have you read both the summaries
Okay so you chose agile vs waterfall model as next query. Am I correct?,Nope.
Is that summary not based on related queries but based on keywords then?,First one is Software engineering methods with waterfall model.  In Second summary I have asked about Agile model and it compares with the previous waterfall model
Can you share the inputs for each summary. It would be easier to understand. I'm bit confused.,"Yeah right,  after the first sumarry generation if the user wants to get answers about specific answers to the generated questions, then he can give that question as a prompt  and can get answers"
You got this from 1st input's summary?,"Nope,  this is a separate input"
Okay then I'm not getting it. Explain me tomorrow.,Ok
It would be easier if build using this existing templates.,I have switched off my laptop.
No problem.,Can these files open in Mobile
Turn on the desktop node for a better view.,Nope after extracting I am getting no files found
There is nothing inside?,No
Okay then better you view in the laptop only. <This message was edited>,Ok
Have you seen it?,Extracted the ZIP
Search for index.html and open it in a browser.,Ok
It's like a reference for us to select a particular design and use it.,Ok got it
See and let me know.,<Media omitted>
If you use this your project would look polished.,"Ok, let's try this."
Ok,Ok bro
Done,Can you see the comparision in the 2nd input with the first input
"In my understanding, you gave non primitive data types as input. It compared to the previous one and it generated summary using the keywords of the previous one.",Yes
It's working fine then.,Ok
Only .pdf file right?,Yes
I will work around the python bot and see.,I think we need python for this
For accepting certain types of files?,Yes
Yes.,But I dont know whether we can connect C code through flask to Java <This message was edited>
Even java too,But I am not sure.
I'm sure of it.,"Ok, see how we can connect it via flask?"
You worry about other stuff.,Ok. You take care of that.
Alright,Ok.
There?,Yes bro
I was working on setting up Nginx server and using CI/CD pipelines using git and github. Now I know how github and git works for setting up projects. You needed to know right. I can explain you in the class.,"Nice bro,  I am eager to know about this"
Alright.,OK
good just need ssh then.,<Media omitted>
"I use linux one in command line, So I'm not sure about this.",OK
"Even for react this is being used in the class, maybe this is the one.",OK
Looks like it is - Git Bash is a command-line tool that emulates Git CLI for Windows and offers Unix command line features.,Oh OK
any updates on project?,"Today I was completely working on implementing the contextual logic and recommendation system logic in all the services like YouTube video summarizing,  audio,  image and in PDF too."
Success?,Yes all of them did well and I got some issue in YouTube summarizing. Because both audio and YouTube summarizer uses the same port to run via flask and some logic issue in YouTube summarizer.
Okay,Changed the port numbers that's it.
"Okay, network related so got curious 😅",Haha OK
I do.,I should enable it.
Alright. You are not thinking about it right?,"Yeah,  because the OCR engine I am using is more powerful"
is you laptop up?,Nope
"Okay then you test it later, i will send you a pic. test that pic and let me know the output/summary.",OK
<Media omitted>,OK
How much time it takes to process?,OK I will let you know tomorrow
"Oh, good.",OK
"For 3rd, it needs information all denominations of a sect under a religion. Most complex then previous ones.  It's like level 1-3 You can add this for testing purpose also in documentation. <This message was edited>",ok
"Wow, summary correct for 1st image. I'm impressed with the queries too. 🤯","Yeah, the OCR engine is quite good."
laptop running?,Nice yeah.
Run the 3rd too and let me know. I'm interest in that one too.,ok wait
Okay.,"{ ""keywords"": [ ""Protestant denominations"", ""Congregationalist"", ""Methodist"", ""Anabaptist"", ""Salvation Army"", ""Lutheran"", ""Reformed"", ""Presbyterian"", ""Seventh-Day Adventist"", ""Protestantism diversity"" ], ""summary"": ""This appears to be a diagram listing various Protestant denominations, including Congregationalist, Methodist, Anabaptist, Salvation Army, Lutheran, Reformed, Presbyterian, Seventh-Day Adventist, and potentially others with partially obscured names. It highlights the diversity within Protestantism.\n"", ""prompt"": ""What would you like to know more about?"", ""relatedQueries"": [ ""Okay, here are 5 relevant user questions that explore the key concepts of the provided summary more deeply:"", ""**What are the key theological differences that distinguish these denominations from one another, and what historical events led to their formation as separate groups within Protestantism?** (This question delves into both the doctrinal reasons and historical context behind the denominations.)"", ""**To what extent do these denominations share common ground in their core beliefs, despite their differences, and what are some examples of doctrines or practices they generally agree upon?** (This question explores the underlying unity within Protestantism, contrasting it with the diversity.)"", ""**How has the relationship between these Protestant denominations evolved over time - have there been periods of greater cooperation, conflict, or convergence, and what factors have influenced these shifts?** (This question focuses on the dynamic nature of inter-denominational relationships.)"", ""**Beyond theological and historical distinctions, how do these denominations differ in their approaches to worship style, church governance, and social engagement?** (This question broadens the scope to include practical aspects beyond pure doctrine.)"", ""**What is the current membership size and geographic distribution of these denominations globally, and how are they adapting to contemporary social and cultural changes?** (This question explores the current status and future trends of these denominations.)"" ] },"
"The questions are good, letting user choose the specific question to pick. Keyword's also good.",Ok
"Yes, we will do that one too.",Good then.
Using github we can easily.,OK
Oh,Not for image and PDF
"I don't know how flask works, let me find out how to run this on any devices.",OK
I'm not sure about it. So I would give it a try. If I understand it i will proceed otherwise i won't. It's kinda off 50-50. So don't keep much hope on it.,OK
Build it,And we can send a tailored message like notification to the user that what his /her partner's mood.
Notification through the same app?,"OK, I will start building it from scratch like training dataset to complete thing manually"
Okay let me know then,Let's think about this
It's the right way. Like how you get notification if i send a message from the WhatsApp.,Hmm I need to think
Okay,OK <This message was edited>
Check out for wit.ai,Ok
Noise cancellation with 42 ANC is the model to search,As of now I have Boat earbuds bro.
Oh okay 👍🏻,"After this goes faulty, I will buy that"
Alright.,OK
Macbook m4 selling at 91k 🤑,"Oh , price got less"
It's great deal,OK. Then planning to buy?
If it was 90 rupees i would buy 🙏🏻😢,Haha OK.
"Yesterday night, it was low as 75k it seems.","Oh really,  how is that possible?"
They offer at low prices for a small time,OK
"One time, from instamart, they gave away a free 50000. Because of a bug. Many tried but they got less. Only one got full use of 50k. I got 50 rupees 😢 Some of them got 10k <This message was edited>",Oh really OK
Yeah,OK
Send me the code once you're done.,OK
Research methodology is that true today is the last?,I don't believe them.
Haha okay 👍🏻,OK
I honestly didn't expect that reply from you 😭,What happened?
I don't know in what way sent it. I read it like you slapped their face 🤣🤣,Haha 😂.
So this week what do you guys did in Java lab?,Actually some day someone said that we need to complete it within 4th sem.
Yeah,"Labset 2,3 and some programming Examples ma'am gave in class"
Alright,OK bro
Need to from this weekend,OK bro
Haha must be irritating 🤣🤣,"Yeah,  she posts childy content everyday"
😭,Oh active guy 😂 <This message was edited>
Haha I doubt that was sent by his P.A,😂
Are they mentioning the date for the exam?,No
"I need a date, that's why",I am thinking about this
"Okay if you do and get a date let me know. If they give time, it will be helpful to prepare if it's compulsory to do today itself.",OK I will let you know
Would be a great help.,OK
Are you paying?,"I have paid,  but I got no confirmation message or anything"
I'm just worried what if they give a slot tomorrow itself?,I don't know what to say
Okay share me the link,https://online.vtu.ac.in/student/my-course/Introduction-to-Research-Research-Methodology
"I haven't completed the course se, so can I still pay?",Yeah you can
<Media omitted>,<Media omitted>
Share this link,"Oh,  then you may have to select one option from the above image you sent"
Okay let me see,"After payment,  the website got closed <This message was edited>"
Check ma'am's message.,I have applied for the first one
Is there any option to cancel it?,Don't know
"I saw both, that's why I got the doubt.",Did you find out the 2nd course?
Yes,"If yes,  then where?"
Check if you can access it,No
What's it showing?,"who have completed the course, applied for the first one"
"And enroll it, it will come under your learning.",OK
Can't pay for both for sure.,How to check my learning?
Was there a quiz for you when you booked?,<Media omitted>
Oh,Ok
Got it?,Share yours?
Are you trying to pay for it?,"I have paid for it, and again it is showing the apply for exam option,  I don't know about what to do"
I'm not paying too.,Ok
My ma'am.,"OK,  let's clarify tomorrow"
Right.,I got 500 rs discount bcoz of category when I paid
Because of this i haven't slept yet 😶,I think karma wants me to pay again
I don't know about that. But there might be a way to cancel it. And it must be hidden.,OK
"Like how they hid signin, courses and user menu.",Yeah
"I paid now, got the seatings in the next week.",OK bro nice
Did you get that too?,No
Oh,I may get Lil bit later
Maybe,OK
Okay,Yeah
9223866666,https://internship.aicte-india.org/internship-details.php?uid=SU5URVJOU0hJUF8xNjU1MTkyNjk0NjBlMjc2YjM0NTM3NQ==&level=NA==
"I'm curious to know what was talked about me, in the lab? 😅 Python ma'am don't look at me while teaching in class. Because not answering viva in the DSA test 😅  I'm still wondering how Vivek knew.",Nice to hear
Yeah it looks good. I need to fill in my details and will apply.,I think he knew the concept. They just said it was a nice concept and complex too.
https://unstop.com/o/0rtBXYW?lb=nRWXyx0N&utm_medium=Share&utm_source=shortUrl  I don't know if it's useful but they mentioned data structure and maths. And also the intern gets paid around 40k. I got this notification from unstop.,Mam didn't even how the concept works
